#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 10778333, SEN S/N: 10778333)","Temp, °C (LGR S/N: 10778333, SEN S/N: 10778333)",Coupler Detached (LGR S/N: 10778333),Coupler Attached (LGR S/N: 10778333),Host Connected (LGR S/N: 10778333),End Of File (LGR S/N: 10778333)
96,4/11/22 13:50,1.7,14.66,,,,
97,4/11/22 14:00,1.7,14.02,,,,
98,4/11/22 14:10,5.5,13.45,,,,
99,4/11/22 14:20,1.7,15.05,,,,
100,4/11/22 14:30,1.7,10.6,,,,
101,4/11/22 14:40,1.7,7.76,,,,
102,4/11/22 14:50,5.6,6.23,,,,
103,4/11/22 15:00,5.6,5.41,,,,
104,4/11/22 15:10,5.6,5,,,,
105,4/11/22 15:20,5.6,4.85,,,,
106,4/11/22 15:30,5.6,4.79,,,,
107,4/11/22 15:40,5.6,4.8,,,,
108,4/11/22 15:50,1.7,4.93,,,,
109,4/11/22 16:00,5.6,5.06,,,,
110,4/11/22 16:10,1.7,5.2,,,,
111,4/11/22 16:20,5.6,5.36,,,,
112,4/11/22 16:30,5.6,5.44,,,,
113,4/11/22 16:40,1.7,5.46,,,,
114,4/11/22 16:50,5.6,5.45,,,,
115,4/11/22 17:00,5.6,5.39,,,,
116,4/11/22 17:10,5.6,5.26,,,,
117,4/11/22 17:20,1.7,5.17,,,,
118,4/11/22 17:30,3.3,5.1,,,,
119,4/11/22 17:40,5.6,5.05,,,,
120,4/11/22 17:50,5.6,4.96,,,,
121,4/11/22 18:00,5.6,4.84,,,,
122,4/11/22 18:10,5.6,4.75,,,,
123,4/11/22 18:20,1.7,4.68,,,,
124,4/11/22 18:30,5.6,4.58,,,,
125,4/11/22 18:40,5.6,4.49,,,,
126,4/11/22 18:50,5.6,4.41,,,,
127,4/11/22 19:00,1.7,4.36,,,,
128,4/11/22 19:10,5.6,4.29,,,,
129,4/11/22 19:20,1.7,4.24,,,,
130,4/11/22 19:30,5.6,4.18,,,,
131,4/11/22 19:40,5.6,4.11,,,,
132,4/11/22 19:50,5.6,4.06,,,,
133,4/11/22 20:00,5.6,3.97,,,,
134,4/11/22 20:10,5.6,3.91,,,,
135,4/11/22 20:20,1.7,3.83,,,,
136,4/11/22 20:30,5.6,3.76,,,,
137,4/11/22 20:40,5.6,3.71,,,,
138,4/11/22 20:50,5.6,3.65,,,,
139,4/11/22 21:00,5.6,3.62,,,,
140,4/11/22 21:10,5.6,3.58,,,,
141,4/11/22 21:20,5.6,3.55,,,,
142,4/11/22 21:30,5.6,3.53,,,,
143,4/11/22 21:40,5.6,3.48,,,,
144,4/11/22 21:50,5.6,3.46,,,,
145,4/11/22 22:00,5.6,3.45,,,,
146,4/11/22 22:10,5.6,3.44,,,,
147,4/11/22 22:20,5.6,3.45,,,,
148,4/11/22 22:30,5.6,3.46,,,,
149,4/11/22 22:40,5.6,3.48,,,,
150,4/11/22 22:50,5.6,3.49,,,,
151,4/11/22 23:00,5.6,3.49,,,,
152,4/11/22 23:10,5.6,3.48,,,,
153,4/11/22 23:20,5.6,3.46,,,,
154,4/11/22 23:30,5.6,3.45,,,,
155,4/11/22 23:40,5.6,3.41,,,,
156,4/11/22 23:50,17.1,3.4,,,,
157,4/12/22 0:00,26.3,3.39,,,,
158,4/12/22 0:10,5.6,3.42,,,,
159,4/12/22 0:20,26.3,3.42,,,,
160,4/12/22 0:30,5.6,3.41,,,,
161,4/12/22 0:40,26.3,3.37,,,,
162,4/12/22 0:50,12.1,3.36,,,,
163,4/12/22 1:00,12.1,3.32,,,,
164,4/12/22 1:10,12.1,3.29,,,,
165,4/12/22 1:20,12.1,3.27,,,,
166,4/12/22 1:30,12.1,3.23,,,,
167,4/12/22 1:40,12.1,3.19,,,,
168,4/12/22 1:50,12.1,3.15,,,,
169,4/12/22 2:00,12.1,3.11,,,,
170,4/12/22 2:10,26.3,3.07,,,,
171,4/12/22 2:20,12.1,3.02,,,,
172,4/12/22 2:30,12.1,3,,,,
173,4/12/22 2:40,12.1,2.97,,,,
174,4/12/22 2:50,12.1,2.93,,,,
175,4/12/22 3:00,26.4,2.9,,,,
176,4/12/22 3:10,12.1,2.88,,,,
177,4/12/22 3:20,26.4,2.87,,,,
178,4/12/22 3:30,12.1,2.87,,,,
179,4/12/22 3:40,26.4,2.85,,,,
180,4/12/22 3:50,12.1,2.85,,,,
181,4/12/22 4:00,12.1,2.87,,,,
182,4/12/22 4:10,12.1,2.87,,,,
183,4/12/22 4:20,3.7,2.85,,,,
184,4/12/22 4:30,12.1,2.85,,,,
185,4/12/22 4:40,3.7,2.85,,,,
186,4/12/22 4:50,12.1,2.84,,,,
187,4/12/22 5:00,12.1,2.81,,,,
188,4/12/22 5:10,12.1,2.7,,,,
189,4/12/22 5:20,12.1,2.5,,,,
190,4/12/22 5:30,12.1,2.33,,,,
191,4/12/22 5:40,12.1,2.15,,,,
192,4/12/22 5:50,12.1,1.98,,,,
193,4/12/22 6:00,26.4,1.83,,,,
194,4/12/22 6:10,12.1,1.66,,,,
195,4/12/22 6:20,12.1,1.5,,,,
196,4/12/22 6:30,26.4,1.35,,,,
197,4/12/22 6:40,12.1,1.22,,,,
198,4/12/22 6:50,12.1,1.09,,,,
199,4/12/22 7:00,2.5,0.97,,,,
200,4/12/22 7:10,12.1,0.87,,,,
201,4/12/22 7:20,26.4,0.76,,,,
202,4/12/22 7:30,12.1,0.66,,,,
203,4/12/22 7:40,12.1,0.58,,,,
204,4/12/22 7:50,12.1,0.49,,,,
205,4/12/22 8:00,12.1,0.42,,,,
206,4/12/22 8:10,12.1,0.35,,,,
207,4/12/22 8:20,3.7,0.27,,,,
208,4/12/22 8:30,12.1,0.23,,,,
209,4/12/22 8:40,12.1,0.19,,,,
210,4/12/22 8:50,12.2,0.14,,,,
211,4/12/22 9:00,12.2,0.1,,,,
212,4/12/22 9:10,12.2,0.05,,,,
213,4/12/22 9:20,12.2,0.05,,,,
214,4/12/22 9:30,26.4,0.03,,,,
215,4/12/22 9:40,12.2,0.02,,,,
216,4/12/22 9:50,12.2,0.02,,,,
217,4/12/22 10:00,12.2,0.05,,,,
218,4/12/22 10:10,12.2,0.06,,,,
219,4/12/22 10:20,26.4,0.07,,,,
220,4/12/22 10:30,12.2,0.1,,,,
221,4/12/22 10:40,12.2,0.11,,,,
222,4/12/22 10:50,12.2,0.15,,,,
223,4/12/22 11:00,12.1,0.18,,,,
224,4/12/22 11:10,26.4,0.24,,,,
225,4/12/22 11:20,26.4,0.31,,,,
226,4/12/22 11:30,12.1,0.41,,,,
227,4/12/22 11:40,12.1,0.58,,,,
228,4/12/22 11:50,12.1,0.68,,,,
229,4/12/22 12:00,26.4,0.74,,,,
230,4/12/22 12:10,26.4,0.75,,,,
231,4/12/22 12:20,26.4,0.75,,,,
232,4/12/22 12:30,5.6,0.71,,,,
233,4/12/22 12:40,17.2,0.67,,,,
234,4/12/22 12:50,26.4,0.63,,,,
235,4/12/22 13:00,5.6,0.59,,,,
236,4/12/22 13:10,26.4,0.54,,,,
237,4/12/22 13:20,26.4,0.5,,,,
238,4/12/22 13:30,5.6,0.48,,,,
239,4/12/22 13:40,5.6,0.46,,,,
240,4/12/22 13:50,5.6,0.44,,,,
241,4/12/22 14:00,5.6,0.38,,,,
242,4/12/22 14:10,5.6,0.35,,,,
243,4/12/22 14:20,5.6,0.33,,,,
244,4/12/22 14:30,5.6,0.28,,,,
245,4/12/22 14:40,5.6,0.27,,,,
246,4/12/22 14:50,5.6,0.25,,,,
247,4/12/22 15:00,26.4,0.22,,,,
248,4/12/22 15:10,5.6,0.19,,,,
249,4/12/22 15:20,5.6,0.14,,,,
250,4/12/22 15:30,5.6,0.05,,,,
251,4/12/22 15:40,5.6,-0.02,,,,
252,4/12/22 15:50,5.6,-0.07,,,,
253,4/12/22 16:00,5.6,-0.08,,,,
254,4/12/22 16:10,5.6,-0.14,,,,
255,4/12/22 16:20,5.6,-0.17,,,,
256,4/12/22 16:30,5.6,-0.19,,,,
257,4/12/22 16:40,5.6,-0.25,,,,
258,4/12/22 16:50,3.3,-0.3,,,,
259,4/12/22 17:00,5.6,-0.3,,,,
260,4/12/22 17:10,5.6,-0.29,,,,
261,4/12/22 17:20,5.6,-0.34,,,,
262,4/12/22 17:30,5.6,-0.33,,,,
263,4/12/22 17:40,1.7,-0.33,,,,
264,4/12/22 17:50,5.6,-0.37,,,,
265,4/12/22 18:00,5.6,-0.38,,,,
266,4/12/22 18:10,1.7,-0.42,,,,
267,4/12/22 18:20,5.6,-0.45,,,,
268,4/12/22 18:30,5.6,-0.47,,,,
269,4/12/22 18:40,5.6,-0.52,,,,
270,4/12/22 18:50,5.6,-0.59,,,,
271,4/12/22 19:00,5.6,-0.71,,,,
272,4/12/22 19:10,5.6,-0.82,,,,
273,4/12/22 19:20,5.6,-0.93,,,,
274,4/12/22 19:30,5.6,-1.07,,,,
275,4/12/22 19:40,1.7,-1.17,,,,
276,4/12/22 19:50,5.6,-1.28,,,,
277,4/12/22 20:00,5.6,-1.33,,,,
278,4/12/22 20:10,5.6,-1.41,,,,
279,4/12/22 20:20,5.6,-1.46,,,,
280,4/12/22 20:30,5.6,-1.51,,,,
281,4/12/22 20:40,5.6,-1.59,,,,
282,4/12/22 20:50,5.6,-1.64,,,,
283,4/12/22 21:00,5.6,-1.67,,,,
284,4/12/22 21:10,5.6,-1.69,,,,
285,4/12/22 21:20,5.6,-1.73,,,,
286,4/12/22 21:30,5.6,-1.72,,,,
287,4/12/22 21:40,5.6,-1.69,,,,
288,4/12/22 21:50,5.6,-1.71,,,,
289,4/12/22 22:00,26.5,-1.73,,,,
290,4/12/22 22:10,5.6,-1.72,,,,
291,4/12/22 22:20,5.6,-1.75,,,,
292,4/12/22 22:30,5.6,-1.75,,,,
293,4/12/22 22:40,5.6,-1.77,,,,
294,4/12/22 22:50,5.6,-1.78,,,,
295,4/12/22 23:00,5.6,-1.81,,,,
296,4/12/22 23:10,5.6,-1.85,,,,
297,4/12/22 23:20,5.6,-1.88,,,,
298,4/12/22 23:30,5.6,-1.91,,,,
299,4/12/22 23:40,5.6,-1.94,,,,
300,4/12/22 23:50,26.5,-1.98,,,,
301,4/13/22 0:00,5.6,-1.99,,,,
302,4/13/22 0:10,5.6,-2.02,,,,
303,4/13/22 0:20,5.6,-2.04,,,,
304,4/13/22 0:30,5.6,-2.04,,,,
305,4/13/22 0:40,17.2,-2.06,,,,
306,4/13/22 0:50,5.6,-2.08,,,,
307,4/13/22 1:00,5.6,-2.1,,,,
308,4/13/22 1:10,5.6,-2.16,,,,
309,4/13/22 1:20,5.6,-2.2,,,,
310,4/13/22 1:30,26.5,-2.21,,,,
311,4/13/22 1:40,26.5,-2.21,,,,
312,4/13/22 1:50,26.5,-2.25,,,,
313,4/13/22 2:00,17.2,-2.28,,,,
314,4/13/22 2:10,26.5,-2.32,,,,
315,4/13/22 2:20,26.5,-2.33,,,,
316,4/13/22 2:30,5.6,-2.37,,,,
317,4/13/22 2:40,5.6,-2.41,,,,
318,4/13/22 2:50,17.2,-2.45,,,,
319,4/13/22 3:00,5.6,-2.5,,,,
320,4/13/22 3:10,5.6,-2.56,,,,
321,4/13/22 3:20,5.6,-2.59,,,,
322,4/13/22 3:30,5.6,-2.6,,,,
323,4/13/22 3:40,5.6,-2.64,,,,
324,4/13/22 3:50,5.6,-2.67,,,,
325,4/13/22 4:00,26.5,-2.69,,,,
326,4/13/22 4:10,26.5,-2.72,,,,
327,4/13/22 4:20,5.6,-2.73,,,,
328,4/13/22 4:30,5.6,-2.76,,,,
329,4/13/22 4:40,5.6,-2.77,,,,
330,4/13/22 4:50,5.6,-2.79,,,,
331,4/13/22 5:00,26.5,-2.81,,,,
332,4/13/22 5:10,26.5,-2.86,,,,
333,4/13/22 5:20,26.5,-2.89,,,,
334,4/13/22 5:30,26.5,-2.92,,,,
335,4/13/22 5:40,5.6,-2.95,,,,
336,4/13/22 5:50,5.6,-2.98,,,,
337,4/13/22 6:00,5.6,-3.01,,,,
338,4/13/22 6:10,5.6,-3.04,,,,
339,4/13/22 6:20,26.5,-3.07,,,,
340,4/13/22 6:30,26.5,-3.11,,,,
341,4/13/22 6:40,26.5,-3.14,,,,
342,4/13/22 6:50,5.6,-3.16,,,,
343,4/13/22 7:00,5.6,-3.2,,,,
344,4/13/22 7:10,5.6,-3.23,,,,
345,4/13/22 7:20,17.2,-3.25,,,,
346,4/13/22 7:30,17.2,-3.28,,,,
347,4/13/22 7:40,26.5,-3.27,,,,
348,4/13/22 7:50,5.6,-3.28,,,,
349,4/13/22 8:00,12.2,-3.27,,,,
350,4/13/22 8:10,5.6,-3.25,,,,
351,4/13/22 8:20,26.5,-3.23,,,,
352,4/13/22 8:30,26.5,-3.23,,,,
353,4/13/22 8:40,12.2,-3.23,,,,
354,4/13/22 8:50,26.5,-3.21,,,,
355,4/13/22 9:00,12.2,-3.2,,,,
356,4/13/22 9:10,12.2,-3.2,,,,
357,4/13/22 9:20,26.5,-3.17,,,,
358,4/13/22 9:30,26.5,-3.16,,,,
359,4/13/22 9:40,12.2,-3.14,,,,
360,4/13/22 9:50,12.2,-3.11,,,,
361,4/13/22 10:00,12.2,-3.07,,,,
362,4/13/22 10:10,12.2,-3.01,,,,
363,4/13/22 10:20,26.5,-2.97,,,,
364,4/13/22 10:30,12.2,-2.89,,,,
365,4/13/22 10:40,12.2,-2.82,,,,
366,4/13/22 10:50,12.2,-2.75,,,,
367,4/13/22 11:00,26.5,-2.71,,,,
368,4/13/22 11:10,12.2,-2.67,,,,
369,4/13/22 11:20,26.5,-2.63,,,,
370,4/13/22 11:30,12.2,-2.63,,,,
371,4/13/22 11:40,12.2,-2.62,,,,
372,4/13/22 11:50,26.5,-2.62,,,,
373,4/13/22 12:00,26.5,-2.6,,,,
374,4/13/22 12:10,5.6,-2.6,,,,
375,4/13/22 12:20,5.6,-2.62,,,,
376,4/13/22 12:30,26.5,-2.64,,,,
377,4/13/22 12:40,5.6,-2.64,,,,
378,4/13/22 12:50,5.6,-2.66,,,,
379,4/13/22 13:00,12.2,-2.62,,,,
380,4/13/22 13:10,26.5,-2.56,,,,
381,4/13/22 13:20,5.6,-2.55,,,,
382,4/13/22 13:30,26.5,-2.5,,,,
383,4/13/22 13:40,26.5,-2.51,,,,
384,4/13/22 13:50,5.6,-2.53,,,,
385,4/13/22 14:00,5.6,-2.55,,,,
386,4/13/22 14:10,5.6,-2.56,,,,
387,4/13/22 14:20,17.2,-2.56,,,,
388,4/13/22 14:30,26.5,-2.53,,,,
389,4/13/22 14:40,5.6,-2.5,,,,
390,4/13/22 14:50,26.5,-2.5,,,,
391,4/13/22 15:00,5.6,-2.46,,,,
392,4/13/22 15:10,26.5,-2.46,,,,
393,4/13/22 15:20,5.6,-2.42,,,,
394,4/13/22 15:30,26.5,-2.38,,,,
395,4/13/22 15:40,5.6,-2.34,,,,
396,4/13/22 15:50,26.5,-2.32,,,,
397,4/13/22 16:00,26.5,-2.32,,,,
398,4/13/22 16:10,5.6,-2.32,,,,
399,4/13/22 16:20,26.5,-2.34,,,,
400,4/13/22 16:30,5.6,-2.38,,,,
401,4/13/22 16:40,26.5,-2.42,,,,
402,4/13/22 16:50,5.6,-2.47,,,,
403,4/13/22 17:00,5.6,-2.51,,,,
404,4/13/22 17:10,5.6,-2.54,,,,
405,4/13/22 17:20,5.6,-2.55,,,,
406,4/13/22 17:30,5.6,-2.55,,,,
407,4/13/22 17:40,5.6,-2.55,,,,
408,4/13/22 17:50,26.5,-2.54,,,,
409,4/13/22 18:00,26.5,-2.54,,,,
410,4/13/22 18:10,5.6,-2.54,,,,
411,4/13/22 18:20,5.6,-2.53,,,,
412,4/13/22 18:30,26.5,-2.53,,,,
413,4/13/22 18:40,26.5,-2.53,,,,
414,4/13/22 18:50,26.5,-2.55,,,,
415,4/13/22 19:00,5.6,-2.58,,,,
416,4/13/22 19:10,5.6,-2.6,,,,
417,4/13/22 19:20,26.5,-2.64,,,,
418,4/13/22 19:30,26.5,-2.67,,,,
419,4/13/22 19:40,5.6,-2.68,,,,
420,4/13/22 19:50,26.5,-2.67,,,,
421,4/13/22 20:00,26.5,-2.67,,,,
422,4/13/22 20:10,5.6,-2.67,,,,
423,4/13/22 20:20,12.2,-2.67,,,,
424,4/13/22 20:30,5.6,-2.63,,,,
425,4/13/22 20:40,17.2,-2.62,,,,
426,4/13/22 20:50,26.5,-2.59,,,,
427,4/13/22 21:00,26.5,-2.58,,,,
428,4/13/22 21:10,12.2,-2.56,,,,
429,4/13/22 21:20,12.2,-2.55,,,,
430,4/13/22 21:30,12.2,-2.54,,,,
431,4/13/22 21:40,12.2,-2.53,,,,
432,4/13/22 21:50,12.2,-2.51,,,,
433,4/13/22 22:00,12.2,-2.53,,,,
434,4/13/22 22:10,12.2,-2.51,,,,
435,4/13/22 22:20,26.5,-2.5,,,,
436,4/13/22 22:30,12.2,-2.53,,,,
437,4/13/22 22:40,12.2,-2.51,,,,
438,4/13/22 22:50,12.2,-2.51,,,,
439,4/13/22 23:00,12.2,-2.51,,,,
440,4/13/22 23:10,12.2,-2.5,,,,
441,4/13/22 23:20,12.2,-2.51,,,,
442,4/13/22 23:30,12.2,-2.5,,,,
443,4/13/22 23:40,12.2,-2.5,,,,
444,4/13/22 23:50,3.7,-2.5,,,,
445,4/14/22 0:00,12.2,-2.51,,,,
446,4/14/22 0:10,3.7,-2.51,,,,
447,4/14/22 0:20,12.2,-2.53,,,,
448,4/14/22 0:30,12.2,-2.54,,,,
449,4/14/22 0:40,12.2,-2.54,,,,
450,4/14/22 0:50,12.2,-2.54,,,,
451,4/14/22 1:00,12.2,-2.54,,,,
452,4/14/22 1:10,12.2,-2.53,,,,
453,4/14/22 1:20,3.7,-2.53,,,,
454,4/14/22 1:30,12.2,-2.51,,,,
455,4/14/22 1:40,3.7,-2.53,,,,
456,4/14/22 1:50,26.5,-2.53,,,,
457,4/14/22 2:00,12.2,-2.55,,,,
458,4/14/22 2:10,12.2,-2.59,,,,
459,4/14/22 2:20,12.2,-2.64,,,,
460,4/14/22 2:30,12.2,-2.69,,,,
461,4/14/22 2:40,12.2,-2.75,,,,
462,4/14/22 2:50,12.2,-2.79,,,,
463,4/14/22 3:00,26.5,-2.82,,,,
464,4/14/22 3:10,12.2,-2.86,,,,
465,4/14/22 3:20,12.2,-2.89,,,,
466,4/14/22 3:30,3.7,-2.89,,,,
467,4/14/22 3:40,12.2,-2.9,,,,
468,4/14/22 3:50,12.2,-2.89,,,,
469,4/14/22 4:00,3.7,-2.88,,,,
470,4/14/22 4:10,3.7,-2.85,,,,
471,4/14/22 4:20,3.7,-2.84,,,,
472,4/14/22 4:30,3.7,-2.82,,,,
473,4/14/22 4:40,3.7,-2.8,,,,
474,4/14/22 4:50,3.7,-2.79,,,,
475,4/14/22 5:00,12.2,-2.76,,,,
476,4/14/22 5:10,3.7,-2.73,,,,
477,4/14/22 5:20,3.7,-2.72,,,,
478,4/14/22 5:30,3.7,-2.71,,,,
479,4/14/22 5:40,3.7,-2.68,,,,
480,4/14/22 5:50,3.7,-2.66,,,,
481,4/14/22 6:00,12.2,-2.64,,,,
482,4/14/22 6:10,12.2,-2.63,,,,
483,4/14/22 6:20,12.2,-2.62,,,,
484,4/14/22 6:30,3.7,-2.59,,,,
485,4/14/22 6:40,3.7,-2.56,,,,
486,4/14/22 6:50,3.7,-2.56,,,,
487,4/14/22 7:00,3.7,-2.56,,,,
488,4/14/22 7:10,12.2,-2.56,,,,
489,4/14/22 7:20,3.7,-2.54,,,,
490,4/14/22 7:30,12.2,-2.53,,,,
491,4/14/22 7:40,3.7,-2.5,,,,
492,4/14/22 7:50,3.7,-2.46,,,,
493,4/14/22 8:00,3.7,-2.42,,,,
494,4/14/22 8:10,3.7,-2.38,,,,
495,4/14/22 8:20,3.7,-2.34,,,,
496,4/14/22 8:30,3.7,-2.27,,,,
497,4/14/22 8:40,3.7,-2.2,,,,
498,4/14/22 8:50,12.2,-2.16,,,,
499,4/14/22 9:00,3.7,-2.1,,,,
500,4/14/22 9:10,3.7,-2.02,,,,
501,4/14/22 9:20,2.5,-1.94,,,,
502,4/14/22 9:30,3.7,-1.88,,,,
503,4/14/22 9:40,3.7,-1.78,,,,
504,4/14/22 9:50,3.7,-1.68,,,,
505,4/14/22 10:00,2.5,-1.58,,,,
506,4/14/22 10:10,3.7,-1.46,,,,
507,4/14/22 10:20,3.7,-1.34,,,,
508,4/14/22 10:30,3.7,-1.23,,,,
509,4/14/22 10:40,3.7,-1.12,,,,
510,4/14/22 10:50,3.7,-1.02,,,,
511,4/14/22 11:00,3.7,-0.89,,,,
512,4/14/22 11:10,3.7,-0.76,,,,
513,4/14/22 11:20,3.7,-0.63,,,,
514,4/14/22 11:30,3.7,-0.46,,,,
515,4/14/22 11:40,3.7,-0.29,,,,
516,4/14/22 11:50,3.7,-0.16,,,,
517,4/14/22 12:00,3.7,-0.06,,,,
518,4/14/22 12:10,3.7,0.02,,,,
519,4/14/22 12:20,3.7,0.07,,,,
520,4/14/22 12:30,3.7,0.12,,,,
521,4/14/22 12:40,3.7,0.16,,,,
522,4/14/22 12:50,3.7,0.18,,,,
523,4/14/22 13:00,3.7,0.22,,,,
524,4/14/22 13:10,3.7,0.25,,,,
525,4/14/22 13:20,3.7,0.29,,,,
526,4/14/22 13:30,3.7,0.32,,,,
527,4/14/22 13:40,3.7,0.36,,,,
528,4/14/22 13:50,3.7,0.4,,,,
529,4/14/22 14:00,3.7,0.44,,,,
530,4/14/22 14:10,3.7,0.46,,,,
531,4/14/22 14:20,3.7,0.49,,,,
532,4/14/22 14:30,3.7,0.53,,,,
533,4/14/22 14:40,3.7,0.55,,,,
534,4/14/22 14:50,3.7,0.58,,,,
535,4/14/22 15:00,3.7,0.61,,,,
536,4/14/22 15:10,3.7,0.62,,,,
537,4/14/22 15:20,3.7,0.66,,,,
538,4/14/22 15:30,3.7,0.68,,,,
539,4/14/22 15:40,3.7,0.68,,,,
540,4/14/22 15:50,3.7,0.7,,,,
541,4/14/22 16:00,3.7,0.71,,,,
542,4/14/22 16:10,3.7,0.71,,,,
543,4/14/22 16:20,3.7,0.72,,,,
544,4/14/22 16:30,3.7,0.72,,,,
545,4/14/22 16:40,3.7,0.75,,,,
546,4/14/22 16:50,3.7,0.77,,,,
547,4/14/22 17:00,3.7,0.79,,,,
548,4/14/22 17:10,3.7,0.8,,,,
549,4/14/22 17:20,3.7,0.81,,,,
550,4/14/22 17:30,3.7,0.83,,,,
551,4/14/22 17:40,3.7,0.84,,,,
552,4/14/22 17:50,3.7,0.85,,,,
553,4/14/22 18:00,3.7,0.87,,,,
554,4/14/22 18:10,3.7,0.9,,,,
555,4/14/22 18:20,3.7,0.96,,,,
556,4/14/22 18:30,3.7,1,,,,
557,4/14/22 18:40,3.7,1.02,,,,
558,4/14/22 18:50,3.7,1.03,,,,
559,4/14/22 19:00,3.7,1.05,,,,
