#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 21135142, SEN S/N: 21135142)","Temp, °C (LGR S/N: 21135142, SEN S/N: 21135142)",Coupler Detached (LGR S/N: 21135142),Coupler Attached (LGR S/N: 21135142),Host Connected (LGR S/N: 21135142),Stopped (LGR S/N: 21135142),End Of File (LGR S/N: 21135142)
94,5/24/22 16:34,5.4,3.37,,,,,
95,5/24/22 16:39,5.4,3.37,,,,,
96,5/24/22 16:44,5.4,3.35,,,,,
97,5/24/22 16:49,5.4,3.35,,,,,
98,5/24/22 16:54,2.1,3.35,,,,,
99,5/24/22 16:59,5.4,3.34,,,,,
100,5/24/22 17:04,5.4,3.34,,,,,
101,5/24/22 17:09,5.4,3.34,,,,,
102,5/24/22 17:14,5.4,3.34,,,,,
103,5/24/22 17:19,5.4,3.34,,,,,
104,5/24/22 17:24,3.2,3.33,,,,,
105,5/24/22 17:29,3.2,3.33,,,,,
106,5/24/22 17:34,5.4,3.33,,,,,
107,5/24/22 17:39,5.4,3.33,,,,,
108,5/24/22 17:44,5.4,3.33,,,,,
109,5/24/22 17:49,5.4,3.33,,,,,
110,5/24/22 17:54,5.4,3.33,,,,,
111,5/24/22 17:59,5.4,3.33,,,,,
112,5/24/22 18:04,3.2,3.33,,,,,
113,5/24/22 18:09,5.4,3.31,,,,,
114,5/24/22 18:14,3.2,3.31,,,,,
115,5/24/22 18:19,5.4,3.31,,,,,
116,5/24/22 18:24,5.4,3.33,,,,,
117,5/24/22 18:29,5.4,3.31,,,,,
118,5/24/22 18:34,5.4,3.33,,,,,
119,5/24/22 18:39,5.4,3.31,,,,,
120,5/24/22 18:44,5.4,3.31,,,,,
121,5/24/22 18:49,5.4,3.31,,,,,
122,5/24/22 18:54,5.4,3.31,,,,,
123,5/24/22 18:59,5.4,3.31,,,,,
124,5/24/22 19:04,5.4,3.31,,,,,
125,5/24/22 19:09,2.1,3.31,,,,,
126,5/24/22 19:14,5.4,3.31,,,,,
127,5/24/22 19:19,5.4,3.31,,,,,
128,5/24/22 19:24,5.4,3.31,,,,,
129,5/24/22 19:29,5.4,3.31,,,,,
130,5/24/22 19:34,5.4,3.3,,,,,
131,5/24/22 19:39,5.4,3.31,,,,,
132,5/24/22 19:44,5.4,3.31,,,,,
133,5/24/22 19:49,5.4,3.31,,,,,
134,5/24/22 19:54,5.4,3.3,,,,,
135,5/24/22 19:59,3.2,3.3,,,,,
136,5/24/22 20:04,5.4,3.3,,,,,
137,5/24/22 20:09,3.2,3.31,,,,,
138,5/24/22 20:14,3.2,3.3,,,,,
139,5/24/22 20:19,2.1,3.29,,,,,
140,5/24/22 20:24,5.4,3.3,,,,,
141,5/24/22 20:29,5.4,3.3,,,,,
142,5/24/22 20:34,5.4,3.3,,,,,
143,5/24/22 20:39,5.4,3.3,,,,,
144,5/24/22 20:44,5.4,3.3,,,,,
145,5/24/22 20:49,5.4,3.3,,,,,
146,5/24/22 20:54,5.4,3.3,,,,,
147,5/24/22 20:59,5.4,3.3,,,,,
148,5/24/22 21:04,5.4,3.3,,,,,
149,5/24/22 21:09,5.4,3.3,,,,,
150,5/24/22 21:14,5.4,3.29,,,,,
151,5/24/22 21:19,5.4,3.3,,,,,
152,5/24/22 21:24,5.4,3.3,,,,,
153,5/24/22 21:29,5.4,3.3,,,,,
154,5/24/22 21:34,3.2,3.29,,,,,
155,5/24/22 21:39,5.4,3.29,,,,,
156,5/24/22 21:44,5.4,3.29,,,,,
157,5/24/22 21:49,3.2,3.29,,,,,
158,5/24/22 21:54,5.4,3.3,,,,,
159,5/24/22 21:59,5.4,3.3,,,,,
160,5/24/22 22:04,5.4,3.29,,,,,
161,5/24/22 22:09,5.4,3.29,,,,,
162,5/24/22 22:14,5.4,3.3,,,,,
163,5/24/22 22:19,5.4,3.29,,,,,
164,5/24/22 22:24,5.4,3.3,,,,,
165,5/24/22 22:29,3.2,3.29,,,,,
166,5/24/22 22:34,5.4,3.29,,,,,
167,5/24/22 22:39,5.4,3.29,,,,,
168,5/24/22 22:44,5.4,3.29,,,,,
169,5/24/22 22:49,5.4,3.29,,,,,
170,5/24/22 22:54,5.4,3.3,,,,,
171,5/24/22 22:59,5.4,3.29,,,,,
172,5/24/22 23:04,5.4,3.29,,,,,
173,5/24/22 23:09,5.4,3.29,,,,,
174,5/24/22 23:14,5.4,3.29,,,,,
175,5/24/22 23:19,5.4,3.29,,,,,
176,5/24/22 23:24,5.4,3.3,,,,,
177,5/24/22 23:29,5.4,3.29,,,,,
178,5/24/22 23:34,5.4,3.29,,,,,
179,5/24/22 23:39,5.4,3.3,,,,,
180,5/24/22 23:44,5.4,3.29,,,,,
181,5/24/22 23:49,5.4,3.29,,,,,
182,5/24/22 23:54,3.2,3.29,,,,,
183,5/24/22 23:59,5.4,3.29,,,,,
184,5/25/22 0:04,5.4,3.29,,,,,
185,5/25/22 0:09,5.4,3.29,,,,,
186,5/25/22 0:14,5.4,3.29,,,,,
187,5/25/22 0:19,5.4,3.29,,,,,
188,5/25/22 0:24,5.4,3.29,,,,,
189,5/25/22 0:29,5.4,3.3,,,,,
190,5/25/22 0:34,5.4,3.29,,,,,
191,5/25/22 0:39,5.4,3.29,,,,,
192,5/25/22 0:44,5.4,3.29,,,,,
193,5/25/22 0:49,5.4,3.29,,,,,
194,5/25/22 0:54,5.4,3.29,,,,,
195,5/25/22 0:59,5.4,3.29,,,,,
196,5/25/22 1:04,5.4,3.28,,,,,
197,5/25/22 1:09,5.4,3.29,,,,,
198,5/25/22 1:14,5.4,3.29,,,,,
199,5/25/22 1:19,3.2,3.29,,,,,
200,5/25/22 1:24,5.4,3.29,,,,,
201,5/25/22 1:29,5.4,3.29,,,,,
202,5/25/22 1:34,5.4,3.29,,,,,
203,5/25/22 1:39,5.4,3.29,,,,,
204,5/25/22 1:44,5.4,3.29,,,,,
205,5/25/22 1:49,5.4,3.29,,,,,
206,5/25/22 1:54,5.4,3.29,,,,,
207,5/25/22 1:59,5.4,3.29,,,,,
208,5/25/22 2:04,5.4,3.29,,,,,
209,5/25/22 2:09,5.4,3.29,,,,,
210,5/25/22 2:14,5.4,3.29,,,,,
211,5/25/22 2:19,5.4,3.29,,,,,
212,5/25/22 2:24,5.4,3.29,,,,,
213,5/25/22 2:29,3.2,3.29,,,,,
214,5/25/22 2:34,5.4,3.29,,,,,
215,5/25/22 2:39,5.4,3.29,,,,,
216,5/25/22 2:44,5.4,3.29,,,,,
217,5/25/22 2:49,5.4,3.29,,,,,
218,5/25/22 2:54,5.4,3.29,,,,,
219,5/25/22 2:59,3.2,3.29,,,,,
220,5/25/22 3:04,5.4,3.3,,,,,
221,5/25/22 3:09,5.4,3.29,,,,,
222,5/25/22 3:14,5.4,3.29,,,,,
223,5/25/22 3:19,5.4,3.29,,,,,
224,5/25/22 3:24,5.4,3.3,,,,,
225,5/25/22 3:29,5.4,3.29,,,,,
226,5/25/22 3:34,3.2,3.29,,,,,
227,5/25/22 3:39,5.4,3.3,,,,,
228,5/25/22 3:44,2.1,3.29,,,,,
229,5/25/22 3:49,5.4,3.29,,,,,
230,5/25/22 3:54,5.4,3.29,,,,,
231,5/25/22 3:59,2.1,3.29,,,,,
232,5/25/22 4:04,5.4,3.29,,,,,
233,5/25/22 4:09,5.4,3.29,,,,,
234,5/25/22 4:14,5.4,3.29,,,,,
235,5/25/22 4:19,5.4,3.29,,,,,
236,5/25/22 4:24,5.4,3.29,,,,,
237,5/25/22 4:29,5.4,3.29,,,,,
238,5/25/22 4:34,5.4,3.29,,,,,
239,5/25/22 4:39,5.4,3.29,,,,,
240,5/25/22 4:44,5.4,3.29,,,,,
241,5/25/22 4:49,5.4,3.29,,,,,
242,5/25/22 4:54,5.4,3.29,,,,,
243,5/25/22 4:59,5.4,3.3,,,,,
244,5/25/22 5:04,5.4,3.29,,,,,
245,5/25/22 5:09,5.4,3.3,,,,,
246,5/25/22 5:14,5.4,3.28,,,,,
247,5/25/22 5:19,5.4,3.29,,,,,
248,5/25/22 5:24,5.4,3.29,,,,,
249,5/25/22 5:29,3.2,3.29,,,,,
250,5/25/22 5:34,5.4,3.3,,,,,
251,5/25/22 5:39,2.1,3.29,,,,,
252,5/25/22 5:44,3.2,3.29,,,,,
253,5/25/22 5:49,5.4,3.3,,,,,
254,5/25/22 5:54,5.4,3.29,,,,,
255,5/25/22 5:59,5.4,3.29,,,,,
256,5/25/22 6:04,5.4,3.3,,,,,
257,5/25/22 6:09,5.4,3.29,,,,,
258,5/25/22 6:14,5.4,3.29,,,,,
259,5/25/22 6:19,1.7,3.3,,,,,
260,5/25/22 6:24,5.4,3.29,,,,,
261,5/25/22 6:29,5.4,3.29,,,,,
262,5/25/22 6:34,5.4,3.3,,,,,
263,5/25/22 6:39,5.4,3.3,,,,,
264,5/25/22 6:44,5.4,3.29,,,,,
265,5/25/22 6:49,5.4,3.29,,,,,
266,5/25/22 6:54,5.4,3.29,,,,,
267,5/25/22 6:59,3.2,3.29,,,,,
268,5/25/22 7:04,3.2,3.29,,,,,
269,5/25/22 7:09,5.4,3.29,,,,,
270,5/25/22 7:14,5.4,3.3,,,,,
271,5/25/22 7:19,3.2,3.3,,,,,
272,5/25/22 7:24,2.1,3.29,,,,,
273,5/25/22 7:29,5.4,3.29,,,,,
274,5/25/22 7:34,5.4,3.29,,,,,
275,5/25/22 7:39,5.4,3.3,,,,,
276,5/25/22 7:44,5.4,3.3,,,,,
277,5/25/22 7:49,5.4,3.3,,,,,
278,5/25/22 7:54,5.4,3.29,,,,,
279,5/25/22 7:59,5.4,3.29,,,,,
280,5/25/22 8:04,5.4,3.29,,,,,
281,5/25/22 8:09,5.4,3.29,,,,,
282,5/25/22 8:14,5.4,3.29,,,,,
283,5/25/22 8:19,5.4,3.3,,,,,
284,5/25/22 8:24,5.4,3.3,,,,,
285,5/25/22 8:29,5.4,3.29,,,,,
286,5/25/22 8:34,5.4,3.29,,,,,
287,5/25/22 8:39,5.4,3.29,,,,,
288,5/25/22 8:44,2.1,3.29,,,,,
289,5/25/22 8:49,5.4,3.3,,,,,
290,5/25/22 8:54,5.4,3.29,,,,,
291,5/25/22 8:59,5.4,3.28,,,,,
292,5/25/22 9:04,5.4,3.29,,,,,
293,5/25/22 9:09,5.4,3.29,,,,,
294,5/25/22 9:14,3.2,3.29,,,,,
295,5/25/22 9:19,5.4,3.29,,,,,
296,5/25/22 9:24,5.4,3.3,,,,,
297,5/25/22 9:29,5.4,3.28,,,,,
298,5/25/22 9:34,5.4,3.29,,,,,
299,5/25/22 9:39,5.4,3.29,,,,,
300,5/25/22 9:44,5.4,3.29,,,,,
301,5/25/22 9:49,5.4,3.29,,,,,
302,5/25/22 9:54,5.4,3.29,,,,,
303,5/25/22 9:59,5.4,3.29,,,,,
304,5/25/22 10:04,3.2,3.29,,,,,
305,5/25/22 10:09,5.4,3.3,,,,,
306,5/25/22 10:14,5.4,3.29,,,,,
307,5/25/22 10:19,5.4,3.29,,,,,
308,5/25/22 10:24,5.4,3.29,,,,,
309,5/25/22 10:29,5.4,3.29,,,,,
310,5/25/22 10:34,5.4,3.3,,,,,
311,5/25/22 10:39,5.4,3.29,,,,,
312,5/25/22 10:44,5.4,3.3,,,,,
313,5/25/22 10:49,5.4,3.29,,,,,
314,5/25/22 10:54,3.2,3.29,,,,,
315,5/25/22 10:59,5.4,3.29,,,,,
316,5/25/22 11:04,5.4,3.29,,,,,
317,5/25/22 11:09,5.4,3.28,,,,,
318,5/25/22 11:14,5.4,3.28,,,,,
319,5/25/22 11:19,5.4,3.29,,,,,
320,5/25/22 11:24,5.4,3.29,,,,,
321,5/25/22 11:29,3.2,3.28,,,,,
322,5/25/22 11:34,5.4,3.29,,,,,
323,5/25/22 11:39,5.4,3.28,,,,,
324,5/25/22 11:44,3.2,3.29,,,,,
325,5/25/22 11:49,5.4,3.29,,,,,
326,5/25/22 11:54,5.4,3.29,,,,,
327,5/25/22 11:59,5.4,3.29,,,,,
328,5/25/22 12:04,5.4,3.28,,,,,
329,5/25/22 12:09,5.4,3.28,,,,,
330,5/25/22 12:14,5.4,3.29,,,,,
331,5/25/22 12:19,5.4,3.29,,,,,
332,5/25/22 12:24,5.4,3.26,,,,,
333,5/25/22 12:29,5.4,3.29,,,,,
334,5/25/22 12:34,5.4,3.28,,,,,
335,5/25/22 12:39,5.4,3.28,,,,,
336,5/25/22 12:44,3.2,3.28,,,,,
337,5/25/22 12:49,5.4,3.28,,,,,
338,5/25/22 12:54,5.4,3.28,,,,,
339,5/25/22 12:59,5.4,3.28,,,,,
340,5/25/22 13:04,5.4,3.29,,,,,
341,5/25/22 13:09,5.4,3.28,,,,,
342,5/25/22 13:14,5.4,3.28,,,,,
343,5/25/22 13:19,5.4,3.28,,,,,
344,5/25/22 13:24,5.4,3.28,,,,,
345,5/25/22 13:29,5.4,3.28,,,,,
346,5/25/22 13:34,5.4,3.28,,,,,
347,5/25/22 13:39,5.4,3.28,,,,,
348,5/25/22 13:44,5.4,3.28,,,,,
349,5/25/22 13:49,5.4,3.28,,,,,
350,5/25/22 13:54,5.4,3.26,,,,,
351,5/25/22 13:59,5.4,3.29,,,,,
352,5/25/22 14:04,5.4,3.28,,,,,
353,5/25/22 14:09,5.4,3.28,,,,,
354,5/25/22 14:14,5.4,3.28,,,,,
355,5/25/22 14:19,5.4,3.26,,,,,
356,5/25/22 14:24,5.4,3.28,,,,,
357,5/25/22 14:29,5.4,3.28,,,,,
358,5/25/22 14:34,5.4,3.26,,,,,
359,5/25/22 14:39,5.4,3.28,,,,,
360,5/25/22 14:44,5.4,3.28,,,,,
361,5/25/22 14:49,5.4,3.29,,,,,
362,5/25/22 14:54,5.4,3.28,,,,,
363,5/25/22 14:59,5.4,3.28,,,,,
364,5/25/22 15:04,5.4,3.28,,,,,
365,5/25/22 15:09,5.4,3.28,,,,,
366,5/25/22 15:14,5.4,3.28,,,,,
367,5/25/22 15:19,3.2,3.28,,,,,
368,5/25/22 15:24,5.4,3.26,,,,,
369,5/25/22 15:29,3.2,3.26,,,,,
370,5/25/22 15:34,5.4,3.28,,,,,
371,5/25/22 15:39,5.4,3.28,,,,,
372,5/25/22 15:44,5.4,3.26,,,,,
373,5/25/22 15:49,5.4,3.28,,,,,
374,5/25/22 15:54,5.4,3.26,,,,,
375,5/25/22 15:59,5.4,3.26,,,,,
376,5/25/22 16:04,5.4,3.26,,,,,
377,5/25/22 16:09,5.4,3.26,,,,,
378,5/25/22 16:14,3.2,3.26,,,,,
379,5/25/22 16:19,5.4,3.26,,,,,
380,5/25/22 16:24,5.4,3.26,,,,,
381,5/25/22 16:29,3.2,3.26,,,,,
382,5/25/22 16:34,5.4,3.26,,,,,
383,5/25/22 16:39,5.4,3.26,,,,,
384,5/25/22 16:44,2.1,3.26,,,,,
385,5/25/22 16:49,5.4,3.26,,,,,
386,5/25/22 16:54,5.4,3.26,,,,,
387,5/25/22 16:59,3.2,3.26,,,,,
388,5/25/22 17:04,5.4,3.25,,,,,
389,5/25/22 17:09,3.2,3.26,,,,,
390,5/25/22 17:14,5.4,3.26,,,,,
391,5/25/22 17:19,5.4,3.25,,,,,
392,5/25/22 17:24,5.4,3.26,,,,,
393,5/25/22 17:29,5.4,3.25,,,,,
394,5/25/22 17:34,5.4,3.26,,,,,
395,5/25/22 17:39,5.4,3.25,,,,,
396,5/25/22 17:44,5.4,3.25,,,,,
397,5/25/22 17:49,5.4,3.25,,,,,
398,5/25/22 17:54,3.2,3.26,,,,,
399,5/25/22 17:59,5.4,3.25,,,,,
400,5/25/22 18:04,5.4,3.25,,,,,
401,5/25/22 18:09,5.4,3.25,,,,,
402,5/25/22 18:14,5.4,3.25,,,,,
403,5/25/22 18:19,5.4,3.25,,,,,
404,5/25/22 18:24,5.4,3.25,,,,,
405,5/25/22 18:29,5.4,3.25,,,,,
406,5/25/22 18:34,5.4,3.24,,,,,
407,5/25/22 18:39,5.4,3.25,,,,,
408,5/25/22 18:44,5.4,3.25,,,,,
409,5/25/22 18:49,5.4,3.25,,,,,
410,5/25/22 18:54,5.4,3.25,,,,,
411,5/25/22 18:59,5.4,3.24,,,,,
412,5/25/22 19:04,5.4,3.25,,,,,
413,5/25/22 19:09,5.4,3.25,,,,,
414,5/25/22 19:14,5.4,3.24,,,,,
415,5/25/22 19:19,5.4,3.24,,,,,
416,5/25/22 19:24,5.4,3.24,,,,,
417,5/25/22 19:29,5.4,3.24,,,,,
418,5/25/22 19:34,5.4,3.24,,,,,
419,5/25/22 19:39,5.4,3.24,,,,,
420,5/25/22 19:44,5.4,3.24,,,,,
421,5/25/22 19:49,5.4,3.25,,,,,
422,5/25/22 19:54,5.4,3.24,,,,,
423,5/25/22 19:59,5.4,3.24,,,,,
424,5/25/22 20:04,5.4,3.24,,,,,
425,5/25/22 20:09,5.4,3.24,,,,,
426,5/25/22 20:14,5.4,3.24,,,,,
427,5/25/22 20:19,5.4,3.24,,,,,
428,5/25/22 20:24,5.4,3.24,,,,,
429,5/25/22 20:29,5.4,3.24,,,,,
430,5/25/22 20:34,5.4,3.24,,,,,
431,5/25/22 20:39,5.4,3.24,,,,,
432,5/25/22 20:44,5.4,3.22,,,,,
433,5/25/22 20:49,5.4,3.24,,,,,
434,5/25/22 20:54,5.4,3.22,,,,,
435,5/25/22 20:59,5.4,3.22,,,,,
436,5/25/22 21:04,3.2,3.24,,,,,
437,5/25/22 21:09,5.4,3.22,,,,,
438,5/25/22 21:14,5.4,3.22,,,,,
439,5/25/22 21:19,5.4,3.24,,,,,
440,5/25/22 21:24,5.4,3.22,,,,,
441,5/25/22 21:29,5.4,3.22,,,,,
442,5/25/22 21:34,3.2,3.24,,,,,
443,5/25/22 21:39,5.4,3.22,,,,,
444,5/25/22 21:44,5.4,3.22,,,,,
445,5/25/22 21:49,5.4,3.22,,,,,
446,5/25/22 21:54,3.2,3.22,,,,,
447,5/25/22 21:59,5.4,3.22,,,,,
448,5/25/22 22:04,5.4,3.22,,,,,
449,5/25/22 22:09,5.4,3.22,,,,,
450,5/25/22 22:14,5.4,3.22,,,,,
451,5/25/22 22:19,5.4,3.24,,,,,
452,5/25/22 22:24,3.2,3.22,,,,,
453,5/25/22 22:29,3.2,3.22,,,,,
454,5/25/22 22:34,5.4,3.22,,,,,
455,5/25/22 22:39,5.4,3.22,,,,,
456,5/25/22 22:44,5.4,3.22,,,,,
457,5/25/22 22:49,5.4,3.22,,,,,
458,5/25/22 22:54,5.4,3.22,,,,,
459,5/25/22 22:59,5.4,3.22,,,,,
460,5/25/22 23:04,5.4,3.22,,,,,
461,5/25/22 23:09,5.4,3.22,,,,,
462,5/25/22 23:14,5.4,3.22,,,,,
463,5/25/22 23:19,3.2,3.22,,,,,
464,5/25/22 23:24,3.2,3.22,,,,,
465,5/25/22 23:29,3.2,3.22,,,,,
466,5/25/22 23:34,5.4,3.22,,,,,
467,5/25/22 23:39,5.4,3.22,,,,,
468,5/25/22 23:44,5.4,3.22,,,,,
469,5/25/22 23:49,5.4,3.22,,,,,
470,5/25/22 23:54,5.4,3.22,,,,,
471,5/25/22 23:59,5.4,3.22,,,,,
472,5/26/22 0:04,5.4,3.22,,,,,
473,5/26/22 0:09,5.4,3.22,,,,,
474,5/26/22 0:14,5.4,3.22,,,,,
475,5/26/22 0:19,5.4,3.24,,,,,
476,5/26/22 0:24,5.4,3.24,,,,,
477,5/26/22 0:29,2.1,3.22,,,,,
478,5/26/22 0:34,3.2,3.22,,,,,
479,5/26/22 0:39,5.4,3.22,,,,,
480,5/26/22 0:44,5.4,3.22,,,,,
481,5/26/22 0:49,5.4,3.22,,,,,
482,5/26/22 0:54,5.4,3.22,,,,,
483,5/26/22 0:59,5.4,3.22,,,,,
484,5/26/22 1:04,5.4,3.22,,,,,
485,5/26/22 1:09,5.4,3.22,,,,,
486,5/26/22 1:14,5.4,3.24,,,,,
487,5/26/22 1:19,5.4,3.22,,,,,
488,5/26/22 1:24,5.4,3.22,,,,,
489,5/26/22 1:29,3.2,3.22,,,,,
490,5/26/22 1:34,5.4,3.22,,,,,
491,5/26/22 1:39,5.4,3.24,,,,,
492,5/26/22 1:44,5.4,3.22,,,,,
493,5/26/22 1:49,5.4,3.24,,,,,
494,5/26/22 1:54,5.4,3.24,,,,,
495,5/26/22 1:59,5.4,3.24,,,,,
496,5/26/22 2:04,5.4,3.24,,,,,
497,5/26/22 2:09,5.4,3.24,,,,,
498,5/26/22 2:14,5.4,3.24,,,,,
499,5/26/22 2:19,3.2,3.24,,,,,
500,5/26/22 2:24,5.4,3.24,,,,,
501,5/26/22 2:29,5.4,3.24,,,,,
502,5/26/22 2:34,5.4,3.24,,,,,
503,5/26/22 2:39,5.4,3.24,,,,,
504,5/26/22 2:44,5.4,3.24,,,,,
505,5/26/22 2:49,5.4,3.24,,,,,
506,5/26/22 2:54,5.4,3.25,,,,,
507,5/26/22 2:59,5.4,3.24,,,,,
508,5/26/22 3:04,5.4,3.25,,,,,
509,5/26/22 3:09,5.4,3.24,,,,,
510,5/26/22 3:14,5.4,3.24,,,,,
511,5/26/22 3:19,5.4,3.25,,,,,
512,5/26/22 3:24,5.4,3.25,,,,,
513,5/26/22 3:29,5.4,3.25,,,,,
514,5/26/22 3:34,5.4,3.25,,,,,
515,5/26/22 3:39,2.1,3.25,,,,,
516,5/26/22 3:44,5.4,3.25,,,,,
517,5/26/22 3:49,5.4,3.25,,,,,
518,5/26/22 3:54,5.4,3.25,,,,,
519,5/26/22 3:59,5.4,3.25,,,,,
520,5/26/22 4:04,5.4,3.25,,,,,
521,5/26/22 4:09,5.4,3.25,,,,,
522,5/26/22 4:14,5.4,3.26,,,,,
523,5/26/22 4:19,5.4,3.25,,,,,
524,5/26/22 4:24,5.4,3.26,,,,,
525,5/26/22 4:29,5.4,3.26,,,,,
526,5/26/22 4:34,5.4,3.26,,,,,
527,5/26/22 4:39,5.4,3.26,,,,,
528,5/26/22 4:44,5.4,3.26,,,,,
529,5/26/22 4:49,5.4,3.26,,,,,
530,5/26/22 4:54,5.4,3.26,,,,,
531,5/26/22 4:59,5.4,3.26,,,,,
532,5/26/22 5:04,5.4,3.26,,,,,
533,5/26/22 5:09,5.4,3.28,,,,,
534,5/26/22 5:14,5.4,3.28,,,,,
535,5/26/22 5:19,2.1,3.28,,,,,
536,5/26/22 5:24,5.4,3.26,,,,,
537,5/26/22 5:29,5.4,3.28,,,,,
538,5/26/22 5:34,5.4,3.28,,,,,
539,5/26/22 5:39,5.4,3.28,,,,,
540,5/26/22 5:44,5.4,3.28,,,,,
541,5/26/22 5:49,5.4,3.28,,,,,
542,5/26/22 5:54,5.4,3.28,,,,,
543,5/26/22 5:59,3.2,3.28,,,,,
544,5/26/22 6:04,5.4,3.29,,,,,
545,5/26/22 6:09,2.1,3.28,,,,,
546,5/26/22 6:14,5.4,3.28,,,,,
