ID,time_sec,BV_volts,temp_C,DO_mgL,Q,datetime,sample_year,DO_mgL_avg,date,time
18,1651505220,3.26,1.55,9.271,0.99,2022-05-02T15:27:00Z,2022,9.2506,5/2/22,8:27:00
19,1651505280,3.26,1.529,9.279,0.99,2022-05-02T15:28:00Z,2022,9.2584,5/2/22,8:28:00
20,1651505340,3.26,1.496,9.299,0.991,2022-05-02T15:29:00Z,2022,9.2694,5/2/22,8:29:00
21,1651505400,3.26,1.475,9.312,0.991,2022-05-02T15:30:00Z,2022,9.281,5/2/22,8:30:00
22,1651505460,3.26,1.486,9.3,0.991,2022-05-02T15:31:00Z,2022,9.2922,5/2/22,8:31:00
23,1651505520,3.26,1.464,9.304,0.991,2022-05-02T15:32:00Z,2022,9.2988,5/2/22,8:32:00
24,1651505580,3.26,1.454,9.302,0.991,2022-05-02T15:33:00Z,2022,9.3034,5/2/22,8:33:00
25,1651505640,3.26,1.443,9.31,0.991,2022-05-02T15:34:00Z,2022,9.3056,5/2/22,8:34:00
26,1651505700,3.26,1.432,9.307,0.991,2022-05-02T15:35:00Z,2022,9.3046,5/2/22,8:35:00
27,1651505760,3.26,1.443,9.318,0.992,2022-05-02T15:36:00Z,2022,9.3082,5/2/22,8:36:00
28,1651505820,3.26,1.432,9.318,0.991,2022-05-02T15:37:00Z,2022,9.311,5/2/22,8:37:00
29,1651505880,3.26,1.432,9.332,0.992,2022-05-02T15:38:00Z,2022,9.317,5/2/22,8:38:00
30,1651505940,3.26,1.421,9.319,0.991,2022-05-02T15:39:00Z,2022,9.3188,5/2/22,8:39:00
31,1651506000,3.26,1.443,9.314,0.992,2022-05-02T15:40:00Z,2022,9.3202,5/2/22,8:40:00
32,1651506060,3.26,1.432,9.324,0.992,2022-05-02T15:41:00Z,2022,9.3214,5/2/22,8:41:00
33,1651506120,3.26,1.421,9.327,0.992,2022-05-02T15:42:00Z,2022,9.3232,5/2/22,8:42:00
34,1651506180,3.26,1.432,9.325,0.992,2022-05-02T15:43:00Z,2022,9.3218,5/2/22,8:43:00
35,1651506240,3.26,1.421,9.325,0.992,2022-05-02T15:44:00Z,2022,9.323,5/2/22,8:44:00
36,1651506300,3.26,1.411,9.336,0.992,2022-05-02T15:45:00Z,2022,9.3274,5/2/22,8:45:00
37,1651506360,3.26,1.432,9.337,0.992,2022-05-02T15:46:00Z,2022,9.33,5/2/22,8:46:00
38,1651506420,3.26,1.432,9.326,0.992,2022-05-02T15:47:00Z,2022,9.3298,5/2/22,8:47:00
39,1651506480,3.26,1.421,9.32,0.991,2022-05-02T15:48:00Z,2022,9.3288,5/2/22,8:48:00
40,1651506540,3.26,1.432,9.321,0.991,2022-05-02T15:49:00Z,2022,9.328,5/2/22,8:49:00
41,1651506600,3.26,1.421,9.326,0.992,2022-05-02T15:50:00Z,2022,9.326,5/2/22,8:50:00
42,1651506660,3.26,1.411,9.334,0.992,2022-05-02T15:51:00Z,2022,9.3254,5/2/22,8:51:00
43,1651506720,3.26,1.411,9.335,0.992,2022-05-02T15:52:00Z,2022,9.3272,5/2/22,8:52:00
44,1651506780,3.26,1.421,9.321,0.992,2022-05-02T15:53:00Z,2022,9.3274,5/2/22,8:53:00
45,1651506840,3.26,1.411,9.329,0.992,2022-05-02T15:54:00Z,2022,9.329,5/2/22,8:54:00
46,1651506900,3.26,1.421,9.331,0.992,2022-05-02T15:55:00Z,2022,9.33,5/2/22,8:55:00
47,1651506960,3.26,1.368,9.359,0.992,2022-05-02T15:56:00Z,2022,9.335,5/2/22,8:56:00
48,1651507020,3.26,1.443,9.324,0.992,2022-05-02T15:57:00Z,2022,9.3328,5/2/22,8:57:00
49,1651507080,3.26,1.443,9.334,0.993,2022-05-02T15:58:00Z,2022,9.3354,5/2/22,8:58:00
50,1651507140,3.26,1.454,9.318,0.992,2022-05-02T15:59:00Z,2022,9.3332,5/2/22,8:59:00
51,1651507200,3.26,1.4,9.342,0.992,2022-05-02T16:00:00Z,2022,9.3354,5/2/22,9:00:00
52,1651507260,3.26,1.432,9.329,0.992,2022-05-02T16:01:00Z,2022,9.3294,5/2/22,9:01:00
53,1651507320,3.26,1.432,9.339,0.993,2022-05-02T16:02:00Z,2022,9.3324,5/2/22,9:02:00
54,1651507380,3.26,1.421,9.331,0.992,2022-05-02T16:03:00Z,2022,9.3318,5/2/22,9:03:00
55,1651507440,3.26,1.432,9.309,0.992,2022-05-02T16:04:00Z,2022,9.33,5/2/22,9:04:00
56,1651507500,3.26,1.4,9.315,0.992,2022-05-02T16:05:00Z,2022,9.3246,5/2/22,9:05:00
57,1651507560,3.26,1.411,9.332,0.993,2022-05-02T16:06:00Z,2022,9.3252,5/2/22,9:06:00
58,1651507620,3.26,1.389,9.32,0.992,2022-05-02T16:07:00Z,2022,9.3214,5/2/22,9:07:00
59,1651507680,3.26,1.389,9.337,0.992,2022-05-02T16:08:00Z,2022,9.3226,5/2/22,9:08:00
60,1651507740,3.26,1.378,9.355,0.992,2022-05-02T16:09:00Z,2022,9.3318,5/2/22,9:09:00
61,1651507800,3.26,1.421,9.336,0.992,2022-05-02T16:10:00Z,2022,9.336,5/2/22,9:10:00
62,1651507860,3.26,1.443,9.329,0.992,2022-05-02T16:11:00Z,2022,9.3354,5/2/22,9:11:00
63,1651507920,3.26,1.4,9.356,0.993,2022-05-02T16:12:00Z,2022,9.3426,5/2/22,9:12:00
64,1651507980,3.26,1.4,9.343,0.992,2022-05-02T16:13:00Z,2022,9.3438,5/2/22,9:13:00
65,1651508040,3.26,1.378,9.336,0.992,2022-05-02T16:14:00Z,2022,9.34,5/2/22,9:14:00
66,1651508100,3.26,1.421,9.315,0.992,2022-05-02T16:15:00Z,2022,9.3358,5/2/22,9:15:00
67,1651508160,3.26,1.4,9.342,0.992,2022-05-02T16:16:00Z,2022,9.3384,5/2/22,9:16:00
68,1651508220,3.26,1.411,9.316,0.992,2022-05-02T16:17:00Z,2022,9.3304,5/2/22,9:17:00
69,1651508280,3.26,1.421,9.342,0.993,2022-05-02T16:18:00Z,2022,9.3302,5/2/22,9:18:00
70,1651508340,3.26,1.432,9.318,0.992,2022-05-02T16:19:00Z,2022,9.3266,5/2/22,9:19:00
71,1651508400,3.26,1.432,9.326,0.993,2022-05-02T16:20:00Z,2022,9.3288,5/2/22,9:20:00
72,1651508460,3.26,1.421,9.319,0.992,2022-05-02T16:21:00Z,2022,9.3242,5/2/22,9:21:00
73,1651508520,3.26,1.432,9.326,0.993,2022-05-02T16:22:00Z,2022,9.3262,5/2/22,9:22:00
74,1651508580,3.26,1.421,9.337,0.993,2022-05-02T16:23:00Z,2022,9.3252,5/2/22,9:23:00
75,1651508640,3.26,1.421,9.329,0.993,2022-05-02T16:24:00Z,2022,9.3274,5/2/22,9:24:00
76,1651508700,3.26,1.411,9.34,0.993,2022-05-02T16:25:00Z,2022,9.3302,5/2/22,9:25:00
77,1651508760,3.26,1.443,9.319,0.992,2022-05-02T16:26:00Z,2022,9.3302,5/2/22,9:26:00
78,1651508820,3.26,1.432,9.324,0.992,2022-05-02T16:27:00Z,2022,9.3298,5/2/22,9:27:00
79,1651508880,3.26,1.411,9.325,0.992,2022-05-02T16:28:00Z,2022,9.3274,5/2/22,9:28:00
80,1651508940,3.26,1.432,9.317,0.992,2022-05-02T16:29:00Z,2022,9.325,5/2/22,9:29:00
81,1651509000,3.26,1.389,9.349,0.993,2022-05-02T16:30:00Z,2022,9.3268,5/2/22,9:30:00
82,1651509060,3.26,1.432,9.324,0.992,2022-05-02T16:31:00Z,2022,9.3278,5/2/22,9:31:00
83,1651509120,3.26,1.389,9.354,0.993,2022-05-02T16:32:00Z,2022,9.3338,5/2/22,9:32:00
84,1651509180,3.26,1.432,9.318,0.992,2022-05-02T16:33:00Z,2022,9.3324,5/2/22,9:33:00
85,1651509240,3.26,1.421,9.327,0.992,2022-05-02T16:34:00Z,2022,9.3344,5/2/22,9:34:00
86,1651509300,3.26,1.432,9.318,0.992,2022-05-02T16:35:00Z,2022,9.3282,5/2/22,9:35:00
87,1651509360,3.26,1.411,9.344,0.992,2022-05-02T16:36:00Z,2022,9.3322,5/2/22,9:36:00
88,1651509420,3.26,1.421,9.341,0.992,2022-05-02T16:37:00Z,2022,9.3296,5/2/22,9:37:00
89,1651509480,3.26,1.421,9.345,0.993,2022-05-02T16:38:00Z,2022,9.335,5/2/22,9:38:00
90,1651509540,3.26,1.368,9.358,0.992,2022-05-02T16:39:00Z,2022,9.3412,5/2/22,9:39:00
91,1651509600,3.26,1.432,9.334,0.992,2022-05-02T16:40:00Z,2022,9.3444,5/2/22,9:40:00
92,1651509660,3.26,1.421,9.34,0.992,2022-05-02T16:41:00Z,2022,9.3436,5/2/22,9:41:00
93,1651509720,3.26,1.432,9.35,0.993,2022-05-02T16:42:00Z,2022,9.3454,5/2/22,9:42:00
94,1651509780,3.26,1.432,9.327,0.992,2022-05-02T16:43:00Z,2022,9.3418,5/2/22,9:43:00
95,1651509840,3.26,1.443,9.351,0.993,2022-05-02T16:44:00Z,2022,9.3404,5/2/22,9:44:00
96,1651509900,3.26,1.411,9.354,0.992,2022-05-02T16:45:00Z,2022,9.3444,5/2/22,9:45:00
97,1651509960,3.26,1.432,9.342,0.992,2022-05-02T16:46:00Z,2022,9.3448,5/2/22,9:46:00
98,1651510020,3.26,1.464,9.331,0.992,2022-05-02T16:47:00Z,2022,9.341,5/2/22,9:47:00
99,1651510080,3.26,1.454,9.326,0.992,2022-05-02T16:48:00Z,2022,9.3408,5/2/22,9:48:00
100,1651510140,3.26,1.464,9.323,0.992,2022-05-02T16:49:00Z,2022,9.3352,5/2/22,9:49:00
101,1651510200,3.26,1.432,9.346,0.992,2022-05-02T16:50:00Z,2022,9.3336,5/2/22,9:50:00
102,1651510260,3.26,1.378,9.364,0.992,2022-05-02T16:51:00Z,2022,9.338,5/2/22,9:51:00
103,1651510320,3.26,1.454,9.333,0.992,2022-05-02T16:52:00Z,2022,9.3384,5/2/22,9:52:00
104,1651510380,3.26,1.432,9.344,0.992,2022-05-02T16:53:00Z,2022,9.342,5/2/22,9:53:00
105,1651510440,3.26,1.454,9.348,0.993,2022-05-02T16:54:00Z,2022,9.347,5/2/22,9:54:00
106,1651510500,3.26,1.454,9.336,0.992,2022-05-02T16:55:00Z,2022,9.345,5/2/22,9:55:00
107,1651510560,3.26,1.454,9.338,0.992,2022-05-02T16:56:00Z,2022,9.3398,5/2/22,9:56:00
108,1651510620,3.26,1.454,9.33,0.992,2022-05-02T16:57:00Z,2022,9.3392,5/2/22,9:57:00
109,1651510680,3.26,1.486,9.321,0.993,2022-05-02T16:58:00Z,2022,9.3346,5/2/22,9:58:00
110,1651510740,3.26,1.454,9.324,0.992,2022-05-02T16:59:00Z,2022,9.3298,5/2/22,9:59:00
111,1651510800,3.26,1.443,9.333,0.992,2022-05-02T17:00:00Z,2022,9.3292,5/2/22,10:00:00
112,1651510860,3.26,1.475,9.328,0.993,2022-05-02T17:01:00Z,2022,9.3272,5/2/22,10:01:00
113,1651510920,3.26,1.411,9.354,0.992,2022-05-02T17:02:00Z,2022,9.332,5/2/22,10:02:00
114,1651510980,3.26,1.454,9.32,0.992,2022-05-02T17:03:00Z,2022,9.3318,5/2/22,10:03:00
115,1651511040,3.26,1.454,9.337,0.993,2022-05-02T17:04:00Z,2022,9.3344,5/2/22,10:04:00
116,1651511100,3.26,1.421,9.35,0.992,2022-05-02T17:05:00Z,2022,9.3378,5/2/22,10:05:00
117,1651511160,3.26,1.432,9.347,0.992,2022-05-02T17:06:00Z,2022,9.3416,5/2/22,10:06:00
118,1651511220,3.26,1.443,9.323,0.992,2022-05-02T17:07:00Z,2022,9.3354,5/2/22,10:07:00
119,1651511280,3.26,1.443,9.335,0.992,2022-05-02T17:08:00Z,2022,9.3384,5/2/22,10:08:00
120,1651511340,3.26,1.454,9.332,0.992,2022-05-02T17:09:00Z,2022,9.3374,5/2/22,10:09:00
121,1651511400,3.26,1.443,9.334,0.992,2022-05-02T17:10:00Z,2022,9.3342,5/2/22,10:10:00
122,1651511460,3.26,1.475,9.326,0.992,2022-05-02T17:11:00Z,2022,9.33,5/2/22,10:11:00
123,1651511520,3.26,1.464,9.339,0.993,2022-05-02T17:12:00Z,2022,9.3332,5/2/22,10:12:00
124,1651511580,3.26,1.432,9.342,0.992,2022-05-02T17:13:00Z,2022,9.3346,5/2/22,10:13:00
125,1651511640,3.26,1.454,9.331,0.992,2022-05-02T17:14:00Z,2022,9.3344,5/2/22,10:14:00
126,1651511700,3.26,1.443,9.332,0.992,2022-05-02T17:15:00Z,2022,9.334,5/2/22,10:15:00
127,1651511760,3.26,1.475,9.317,0.992,2022-05-02T17:16:00Z,2022,9.3322,5/2/22,10:16:00
128,1651511820,3.26,1.443,9.35,0.993,2022-05-02T17:17:00Z,2022,9.3344,5/2/22,10:17:00
129,1651511880,3.26,1.454,9.336,0.992,2022-05-02T17:18:00Z,2022,9.3332,5/2/22,10:18:00
130,1651511940,3.26,1.464,9.342,0.993,2022-05-02T17:19:00Z,2022,9.3354,5/2/22,10:19:00
131,1651512000,3.26,1.432,9.328,0.991,2022-05-02T17:20:00Z,2022,9.3346,5/2/22,10:20:00
132,1651512060,3.26,1.464,9.34,0.993,2022-05-02T17:21:00Z,2022,9.3392,5/2/22,10:21:00
133,1651512120,3.26,1.464,9.333,0.992,2022-05-02T17:22:00Z,2022,9.3358,5/2/22,10:22:00
134,1651512180,3.26,1.464,9.33,0.992,2022-05-02T17:23:00Z,2022,9.3346,5/2/22,10:23:00
135,1651512240,3.26,1.475,9.338,0.993,2022-05-02T17:24:00Z,2022,9.3338,5/2/22,10:24:00
136,1651512300,3.26,1.464,9.34,0.992,2022-05-02T17:25:00Z,2022,9.3362,5/2/22,10:25:00
137,1651512360,3.26,1.486,9.33,0.992,2022-05-02T17:26:00Z,2022,9.3342,5/2/22,10:26:00
138,1651512420,3.26,1.432,9.358,0.993,2022-05-02T17:27:00Z,2022,9.3392,5/2/22,10:27:00
139,1651512480,3.26,1.518,9.32,0.992,2022-05-02T17:28:00Z,2022,9.3372,5/2/22,10:28:00
140,1651512540,3.26,1.454,9.342,0.992,2022-05-02T17:29:00Z,2022,9.338,5/2/22,10:29:00
141,1651512600,3.26,1.464,9.347,0.993,2022-05-02T17:30:00Z,2022,9.3394,5/2/22,10:30:00
142,1651512660,3.26,1.496,9.337,0.992,2022-05-02T17:31:00Z,2022,9.3408,5/2/22,10:31:00
143,1651512720,3.26,1.475,9.335,0.992,2022-05-02T17:32:00Z,2022,9.3362,5/2/22,10:32:00
144,1651512780,3.26,1.507,9.317,0.992,2022-05-02T17:33:00Z,2022,9.3356,5/2/22,10:33:00
145,1651512840,3.26,1.496,9.335,0.992,2022-05-02T17:34:00Z,2022,9.3342,5/2/22,10:34:00
146,1651512900,3.26,1.496,9.33,0.992,2022-05-02T17:35:00Z,2022,9.3308,5/2/22,10:35:00
147,1651512960,3.26,1.486,9.33,0.992,2022-05-02T17:36:00Z,2022,9.3294,5/2/22,10:36:00
148,1651513020,3.26,1.507,9.326,0.992,2022-05-02T17:37:00Z,2022,9.3276,5/2/22,10:37:00
149,1651513080,3.26,1.518,9.326,0.993,2022-05-02T17:38:00Z,2022,9.3294,5/2/22,10:38:00
150,1651513140,3.26,1.475,9.329,0.992,2022-05-02T17:39:00Z,2022,9.3282,5/2/22,10:39:00
151,1651513200,3.26,1.507,9.321,0.992,2022-05-02T17:40:00Z,2022,9.3264,5/2/22,10:40:00
152,1651513260,3.26,1.486,9.316,0.991,2022-05-02T17:41:00Z,2022,9.3236,5/2/22,10:41:00
153,1651513320,3.26,1.507,9.337,0.993,2022-05-02T17:42:00Z,2022,9.3258,5/2/22,10:42:00
154,1651513380,3.26,1.486,9.325,0.992,2022-05-02T17:43:00Z,2022,9.3256,5/2/22,10:43:00
155,1651513440,3.26,1.486,9.328,0.992,2022-05-02T17:44:00Z,2022,9.3254,5/2/22,10:44:00
156,1651513500,3.26,1.475,9.339,0.992,2022-05-02T17:45:00Z,2022,9.329,5/2/22,10:45:00
157,1651513560,3.26,1.496,9.327,0.992,2022-05-02T17:46:00Z,2022,9.3312,5/2/22,10:46:00
158,1651513620,3.26,1.496,9.332,0.992,2022-05-02T17:47:00Z,2022,9.3302,5/2/22,10:47:00
159,1651513680,3.26,1.443,9.348,0.992,2022-05-02T17:48:00Z,2022,9.3348,5/2/22,10:48:00
160,1651513740,3.26,1.486,9.325,0.992,2022-05-02T17:49:00Z,2022,9.3342,5/2/22,10:49:00
161,1651513800,3.26,1.496,9.336,0.993,2022-05-02T17:50:00Z,2022,9.3336,5/2/22,10:50:00
162,1651513860,3.26,1.518,9.327,0.992,2022-05-02T17:51:00Z,2022,9.3336,5/2/22,10:51:00
163,1651513920,3.26,1.496,9.333,0.992,2022-05-02T17:52:00Z,2022,9.3338,5/2/22,10:52:00
164,1651513980,3.26,1.507,9.32,0.992,2022-05-02T17:53:00Z,2022,9.3282,5/2/22,10:53:00
165,1651514040,3.26,1.496,9.335,0.993,2022-05-02T17:54:00Z,2022,9.3302,5/2/22,10:54:00
166,1651514100,3.26,1.464,9.342,0.992,2022-05-02T17:55:00Z,2022,9.3314,5/2/22,10:55:00
167,1651514160,3.26,1.421,9.368,0.992,2022-05-02T17:56:00Z,2022,9.3396,5/2/22,10:56:00
168,1651514220,3.26,1.507,9.328,0.992,2022-05-02T17:57:00Z,2022,9.3386,5/2/22,10:57:00
169,1651514280,3.26,1.518,9.304,0.991,2022-05-02T17:58:00Z,2022,9.3354,5/2/22,10:58:00
170,1651514340,3.26,1.507,9.33,0.992,2022-05-02T17:59:00Z,2022,9.3344,5/2/22,10:59:00
171,1651514400,3.26,1.496,9.337,0.992,2022-05-02T18:00:00Z,2022,9.3334,5/2/22,11:00:00
172,1651514460,3.26,1.518,9.329,0.993,2022-05-02T18:01:00Z,2022,9.3256,5/2/22,11:01:00
173,1651514520,3.26,1.518,9.329,0.992,2022-05-02T18:02:00Z,2022,9.3258,5/2/22,11:02:00
174,1651514580,3.26,1.529,9.321,0.992,2022-05-02T18:03:00Z,2022,9.3292,5/2/22,11:03:00
175,1651514640,3.26,1.518,9.33,0.992,2022-05-02T18:04:00Z,2022,9.3292,5/2/22,11:04:00
176,1651514700,3.26,1.507,9.335,0.992,2022-05-02T18:05:00Z,2022,9.3288,5/2/22,11:05:00
177,1651514760,3.26,1.518,9.333,0.992,2022-05-02T18:06:00Z,2022,9.3296,5/2/22,11:06:00
178,1651514820,3.26,1.529,9.323,0.992,2022-05-02T18:07:00Z,2022,9.3284,5/2/22,11:07:00
179,1651514880,3.26,1.486,9.344,0.992,2022-05-02T18:08:00Z,2022,9.333,5/2/22,11:08:00
180,1651514940,3.26,1.518,9.332,0.992,2022-05-02T18:09:00Z,2022,9.3334,5/2/22,11:09:00
181,1651515000,3.26,1.55,9.317,0.992,2022-05-02T18:10:00Z,2022,9.3298,5/2/22,11:10:00
182,1651515060,3.26,1.55,9.328,0.992,2022-05-02T18:11:00Z,2022,9.3288,5/2/22,11:11:00
183,1651515120,3.26,1.539,9.329,0.992,2022-05-02T18:12:00Z,2022,9.33,5/2/22,11:12:00
184,1651515180,3.26,1.55,9.326,0.992,2022-05-02T18:13:00Z,2022,9.3264,5/2/22,11:13:00
185,1651515240,3.26,1.561,9.318,0.992,2022-05-02T18:14:00Z,2022,9.3236,5/2/22,11:14:00
186,1651515300,3.26,1.561,9.316,0.992,2022-05-02T18:15:00Z,2022,9.3234,5/2/22,11:15:00
187,1651515360,3.26,1.582,9.315,0.992,2022-05-02T18:16:00Z,2022,9.3208,5/2/22,11:16:00
188,1651515420,3.26,1.561,9.324,0.992,2022-05-02T18:17:00Z,2022,9.3198,5/2/22,11:17:00
189,1651515480,3.26,1.571,9.328,0.993,2022-05-02T18:18:00Z,2022,9.3202,5/2/22,11:18:00
190,1651515540,3.26,1.518,9.335,0.992,2022-05-02T18:19:00Z,2022,9.3236,5/2/22,11:19:00
191,1651515600,3.26,1.529,9.332,0.992,2022-05-02T18:20:00Z,2022,9.3268,5/2/22,11:20:00
192,1651515660,3.26,1.561,9.335,0.993,2022-05-02T18:21:00Z,2022,9.3308,5/2/22,11:21:00
193,1651515720,3.26,1.582,9.325,0.993,2022-05-02T18:22:00Z,2022,9.331,5/2/22,11:22:00
194,1651515780,3.26,1.582,9.316,0.992,2022-05-02T18:23:00Z,2022,9.3286,5/2/22,11:23:00
195,1651515840,3.26,1.604,9.313,0.992,2022-05-02T18:24:00Z,2022,9.3242,5/2/22,11:24:00
196,1651515900,3.26,1.604,9.323,0.993,2022-05-02T18:25:00Z,2022,9.3224,5/2/22,11:25:00
197,1651515960,3.26,1.571,9.333,0.992,2022-05-02T18:26:00Z,2022,9.322,5/2/22,11:26:00
198,1651516020,3.26,1.593,9.329,0.993,2022-05-02T18:27:00Z,2022,9.3228,5/2/22,11:27:00
199,1651516080,3.26,1.604,9.322,0.993,2022-05-02T18:28:00Z,2022,9.324,5/2/22,11:28:00
200,1651516140,3.26,1.593,9.317,0.992,2022-05-02T18:29:00Z,2022,9.3248,5/2/22,11:29:00
201,1651516200,3.26,1.593,9.305,0.992,2022-05-02T18:30:00Z,2022,9.3212,5/2/22,11:30:00
202,1651516260,3.26,1.582,9.315,0.992,2022-05-02T18:31:00Z,2022,9.3176,5/2/22,11:31:00
203,1651516320,3.26,1.593,9.311,0.992,2022-05-02T18:32:00Z,2022,9.314,5/2/22,11:32:00
204,1651516380,3.26,1.604,9.295,0.992,2022-05-02T18:33:00Z,2022,9.3086,5/2/22,11:33:00
205,1651516440,3.26,1.604,9.299,0.992,2022-05-02T18:34:00Z,2022,9.305,5/2/22,11:34:00
206,1651516500,3.26,1.604,9.308,0.992,2022-05-02T18:35:00Z,2022,9.3056,5/2/22,11:35:00
207,1651516560,3.26,1.582,9.305,0.992,2022-05-02T18:36:00Z,2022,9.3036,5/2/22,11:36:00
208,1651516620,3.26,1.593,9.303,0.992,2022-05-02T18:37:00Z,2022,9.302,5/2/22,11:37:00
209,1651516680,3.26,1.593,9.301,0.992,2022-05-02T18:38:00Z,2022,9.3032,5/2/22,11:38:00
210,1651516740,3.26,1.593,9.302,0.992,2022-05-02T18:39:00Z,2022,9.3038,5/2/22,11:39:00
211,1651516800,3.26,1.604,9.295,0.992,2022-05-02T18:40:00Z,2022,9.3012,5/2/22,11:40:00
212,1651516860,3.26,1.614,9.305,0.992,2022-05-02T18:41:00Z,2022,9.3012,5/2/22,11:41:00
213,1651516920,3.26,1.593,9.305,0.992,2022-05-02T18:42:00Z,2022,9.3016,5/2/22,11:42:00
214,1651516980,3.26,1.571,9.311,0.992,2022-05-02T18:43:00Z,2022,9.3036,5/2/22,11:43:00
215,1651517040,3.26,1.614,9.309,0.993,2022-05-02T18:44:00Z,2022,9.305,5/2/22,11:44:00
216,1651517100,3.26,1.614,9.296,0.992,2022-05-02T18:45:00Z,2022,9.3052,5/2/22,11:45:00
217,1651517160,3.26,1.614,9.29,0.992,2022-05-02T18:46:00Z,2022,9.3022,5/2/22,11:46:00
218,1651517220,3.26,1.614,9.305,0.993,2022-05-02T18:47:00Z,2022,9.3022,5/2/22,11:47:00
219,1651517280,3.26,1.614,9.303,0.992,2022-05-02T18:48:00Z,2022,9.3006,5/2/22,11:48:00
220,1651517340,3.26,1.614,9.318,0.993,2022-05-02T18:49:00Z,2022,9.3024,5/2/22,11:49:00
221,1651517400,3.26,1.625,9.322,0.993,2022-05-02T18:50:00Z,2022,9.3076,5/2/22,11:50:00
222,1651517460,3.26,1.625,9.305,0.992,2022-05-02T18:51:00Z,2022,9.3106,5/2/22,11:51:00
223,1651517520,3.26,1.593,9.325,0.993,2022-05-02T18:52:00Z,2022,9.3146,5/2/22,11:52:00
224,1651517580,3.26,1.614,9.306,0.992,2022-05-02T18:53:00Z,2022,9.3152,5/2/22,11:53:00
225,1651517640,3.26,1.614,9.314,0.993,2022-05-02T18:54:00Z,2022,9.3144,5/2/22,11:54:00
226,1651517700,3.26,1.625,9.297,0.992,2022-05-02T18:55:00Z,2022,9.3094,5/2/22,11:55:00
227,1651517760,3.26,1.614,9.304,0.992,2022-05-02T18:56:00Z,2022,9.3092,5/2/22,11:56:00
228,1651517820,3.26,1.625,9.304,0.992,2022-05-02T18:57:00Z,2022,9.305,5/2/22,11:57:00
229,1651517880,3.26,1.614,9.318,0.993,2022-05-02T18:58:00Z,2022,9.3074,5/2/22,11:58:00
230,1651517940,3.26,1.604,9.314,0.992,2022-05-02T18:59:00Z,2022,9.3074,5/2/22,11:59:00
231,1651518000,3.26,1.582,9.316,0.992,2022-05-02T19:00:00Z,2022,9.3112,5/2/22,12:00:00
232,1651518060,3.26,1.625,9.311,0.992,2022-05-02T19:01:00Z,2022,9.3126,5/2/22,12:01:00
233,1651518120,3.26,1.582,9.322,0.993,2022-05-02T19:02:00Z,2022,9.3162,5/2/22,12:02:00
234,1651518180,3.26,1.614,9.311,0.993,2022-05-02T19:03:00Z,2022,9.3148,5/2/22,12:03:00
235,1651518240,3.26,1.571,9.315,0.992,2022-05-02T19:04:00Z,2022,9.315,5/2/22,12:04:00
236,1651518300,3.26,1.614,9.295,0.992,2022-05-02T19:05:00Z,2022,9.3108,5/2/22,12:05:00
237,1651518360,3.26,1.614,9.301,0.992,2022-05-02T19:06:00Z,2022,9.3088,5/2/22,12:06:00
238,1651518420,3.26,1.582,9.314,0.992,2022-05-02T19:07:00Z,2022,9.3072,5/2/22,12:07:00
239,1651518480,3.26,1.604,9.308,0.992,2022-05-02T19:08:00Z,2022,9.3066,5/2/22,12:08:00
240,1651518540,3.26,1.582,9.321,0.992,2022-05-02T19:09:00Z,2022,9.3078,5/2/22,12:09:00
